initial state:
1 | E C 
2 | A D 
3 | B 

it= 0 , queue= 0 , f=g+h= 11 , depth=  0
it= 1 , queue= 5 , f=g+h= 8 , depth=  1
it= 2 , queue= 8 , f=g+h= 7 , depth=  2
it= 3 , queue= 9 , f=g+h= 7 , depth=  2
it= 4 , queue= 12 , f=g+h= 8 , depth=  3
it= 5 , queue= 13 , f=g+h= 8 , depth=  3
it= 6 , queue= 14 , f=g+h= 8 , depth=  3
it= 7 , queue= 15 , f=g+h= 8 , depth=  3
it= 8 , queue= 16 , f=g+h= 8 , depth=  4
it= 9 , queue= 17 , f=g+h= 9 , depth=  2
it= 10 , queue= 18 , f=g+h= 9 , depth=  2
it= 11 , queue= 21 , f=g+h= 9 , depth=  4
it= 12 , queue= 20 , f=g+h= 9 , depth=  4
it= 13 , queue= 20 , f=g+h= 9 , depth=  4
it= 14 , queue= 19 , f=g+h= 9 , depth=  5
it= 15 , queue= 20 , f=g+h= 9 , depth=  5
it= 16 , queue= 21 , f=g+h= 10 , depth=  3
it= 17 , queue= 22 , f=g+h= 10 , depth=  3
it= 18 , queue= 23 , f=g+h= 10 , depth=  3
it= 19 , queue= 24 , f=g+h= 10 , depth=  5
it= 20 , queue= 25 , f=g+h= 10 , depth=  4
it= 21 , queue= 26 , f=g+h= 11 , depth=  4
it= 22 , queue= 27 , f=g+h= 11 , depth=  4
it= 23 , queue= 28 , f=g+h= 11 , depth=  4
it= 24 , queue= 30 , f=g+h= 11 , depth=  4
it= 25 , queue= 29 , f=g+h= 11 , depth=  4
it= 26 , queue= 30 , f=g+h= 10 , depth=  5
it= 27 , queue= 31 , f=g+h= 10 , depth=  6
it= 28 , queue= 32 , f=g+h= 11 , depth=  4
it= 29 , queue= 33 , f=g+h= 10 , depth=  5
it= 30 , queue= 32 , f=g+h= 11 , depth=  5
it= 31 , queue= 31 , f=g+h= 11 , depth=  6
it= 32 , queue= 32 , f=g+h= 12 , depth=  1
it= 33 , queue= 35 , f=g+h= 12 , depth=  1
it= 34 , queue= 38 , f=g+h= 11 , depth=  2
it= 35 , queue= 39 , f=g+h= 12 , depth=  1
it= 36 , queue= 42 , f=g+h= 12 , depth=  1
it= 37 , queue= 43 , f=g+h= 12 , depth=  1
it= 38 , queue= 44 , f=g+h= 9 , depth=  2
it= 39 , queue= 45 , f=g+h= 10 , depth=  3
it= 40 , queue= 44 , f=g+h= 10 , depth=  3
it= 41 , queue= 45 , f=g+h= 12 , depth=  3
it= 42 , queue= 46 , f=g+h= 12 , depth=  3
it= 43 , queue= 48 , f=g+h= 12 , depth=  6
it= 44 , queue= 49 , f=g+h= 12 , depth=  6
it= 45 , queue= 50 , f=g+h= 12 , depth=  6
it= 46 , queue= 52 , f=g+h= 12 , depth=  6
it= 47 , queue= 53 , f=g+h= 12 , depth=  5
it= 48 , queue= 56 , f=g+h= 12 , depth=  5
it= 49 , queue= 57 , f=g+h= 12 , depth=  5
it= 50 , queue= 58 , f=g+h= 12 , depth=  3
it= 51 , queue= 60 , f=g+h= 11 , depth=  4
it= 52 , queue= 63 , f=g+h= 10 , depth=  5
it= 53 , queue= 64 , f=g+h= 10 , depth=  5
it= 54 , queue= 65 , f=g+h= 11 , depth=  6
it= 55 , queue= 64 , f=g+h= 11 , depth=  6
it= 56 , queue= 65 , f=g+h= 12 , depth=  5
it= 57 , queue= 66 , f=g+h= 12 , depth=  5
it= 58 , queue= 67 , f=g+h= 13 , depth=  3
