initial state:
1 | B 
2 | C E 
3 | A D 

it= 0 , queue= 1 , depth=  0
it= 1 , queue= 7 , depth=  1
it= 2 , queue= 9 , depth=  1
it= 3 , queue= 11 , depth=  1
it= 4 , queue= 15 , depth=  1
it= 5 , queue= 19 , depth=  1
it= 6 , queue= 23 , depth=  1
it= 7 , queue= 27 , depth=  2
it= 8 , queue= 31 , depth=  2
it= 9 , queue= 33 , depth=  2
it= 10 , queue= 37 , depth=  2
it= 11 , queue= 39 , depth=  2
it= 12 , queue= 41 , depth=  2
it= 13 , queue= 43 , depth=  2
it= 14 , queue= 47 , depth=  2
it= 15 , queue= 51 , depth=  2
it= 16 , queue= 52 , depth=  2
it= 17 , queue= 54 , depth=  2
it= 18 , queue= 56 , depth=  2
it= 19 , queue= 58 , depth=  2
it= 20 , queue= 62 , depth=  2
it= 21 , queue= 65 , depth=  2
it= 22 , queue= 67 , depth=  2
it= 23 , queue= 69 , depth=  2
it= 24 , queue= 71 , depth=  2
it= 25 , queue= 72 , depth=  2
it= 26 , queue= 74 , depth=  2
it= 27 , queue= 76 , depth=  3
it= 28 , queue= 80 , depth=  3
it= 29 , queue= 82 , depth=  3
it= 30 , queue= 84 , depth=  3
it= 31 , queue= 86 , depth=  3
it= 32 , queue= 88 , depth=  3
it= 33 , queue= 88 , depth=  3
it= 34 , queue= 90 , depth=  3
it= 35 , queue= 92 , depth=  3
it= 36 , queue= 96 , depth=  3
it= 37 , queue= 98 , depth=  3
it= 38 , queue= 100 , depth=  3
it= 39 , queue= 100 , depth=  3
it= 40 , queue= 102 , depth=  3
it= 41 , queue= 106 , depth=  3
it= 42 , queue= 109 , depth=  3
it= 43 , queue= 111 , depth=  3
it= 44 , queue= 113 , depth=  3
it= 45 , queue= 114 , depth=  3
it= 46 , queue= 116 , depth=  3
it= 47 , queue= 118 , depth=  3
it= 48 , queue= 122 , depth=  3
it= 49 , queue= 124 , depth=  3
it= 50 , queue= 126 , depth=  3
it= 51 , queue= 128 , depth=  3
it= 52 , queue= 130 , depth=  3
it= 53 , queue= 132 , depth=  3
it= 54 , queue= 132 , depth=  3
it= 55 , queue= 134 , depth=  3
it= 56 , queue= 136 , depth=  3
it= 57 , queue= 137 , depth=  3
it= 58 , queue= 137 , depth=  3
it= 59 , queue= 139 , depth=  3
it= 60 , queue= 141 , depth=  3
it= 61 , queue= 143 , depth=  3
it= 62 , queue= 145 , depth=  3
it= 63 , queue= 149 , depth=  3
it= 64 , queue= 151 , depth=  3
it= 65 , queue= 153 , depth=  3
it= 66 , queue= 155 , depth=  3
it= 67 , queue= 158 , depth=  3
it= 68 , queue= 160 , depth=  3
it= 69 , queue= 163 , depth=  3
it= 70 , queue= 165 , depth=  3
it= 71 , queue= 165 , depth=  3
it= 72 , queue= 167 , depth=  3
it= 73 , queue= 169 , depth=  3
it= 74 , queue= 171 , depth=  3
it= 75 , queue= 171 , depth=  3
it= 76 , queue= 172 , depth=  4
it= 77 , queue= 176 , depth=  4
it= 78 , queue= 180 , depth=  4
it= 79 , queue= 182 , depth=  4
it= 80 , queue= 184 , depth=  4
it= 81 , queue= 188 , depth=  4
it= 82 , queue= 192 , depth=  4
it= 83 , queue= 194 , depth=  4
it= 84 , queue= 197 , depth=  4
it= 85 , queue= 197 , depth=  4
it= 86 , queue= 198 , depth=  4
it= 87 , queue= 200 , depth=  4
it= 88 , queue= 202 , depth=  4
it= 89 , queue= 204 , depth=  4
it= 90 , queue= 208 , depth=  4
it= 91 , queue= 209 , depth=  4
it= 92 , queue= 209 , depth=  4
it= 93 , queue= 211 , depth=  4
it= 94 , queue= 212 , depth=  4
it= 95 , queue= 216 , depth=  4
it= 96 , queue= 220 , depth=  4
it= 97 , queue= 224 , depth=  4
it= 98 , queue= 228 , depth=  4
it= 99 , queue= 230 , depth=  4
it= 100 , queue= 232 , depth=  4
it= 101 , queue= 232 , depth=  4
it= 102 , queue= 234 , depth=  4
it= 103 , queue= 238 , depth=  4
it= 104 , queue= 240 , depth=  4
it= 105 , queue= 242 , depth=  4
it= 106 , queue= 244 , depth=  4
it= 107 , queue= 245 , depth=  4
it= 108 , queue= 246 , depth=  4
it= 109 , queue= 249 , depth=  4
it= 110 , queue= 250 , depth=  4
it= 111 , queue= 250 , depth=  4
it= 112 , queue= 250 , depth=  4
it= 113 , queue= 252 , depth=  4
it= 114 , queue= 254 , depth=  4
it= 115 , queue= 254 , depth=  4
