initial state:
1 | B 
2 | C E 
3 | A D 

it= 0 , queue= 0 , f=g+h= 5 , depth=  0
it= 1 , queue= 5 , f=g+h= 6 , depth=  1
it= 2 , queue= 6 , f=g+h= 6 , depth=  1
it= 3 , queue= 7 , f=g+h= 6 , depth=  1
it= 4 , queue= 10 , f=g+h= 6 , depth=  1
it= 5 , queue= 13 , f=g+h= 6 , depth=  1
it= 6 , queue= 16 , f=g+h= 6 , depth=  1
it= 7 , queue= 19 , f=g+h= 6 , depth=  2
it= 8 , queue= 20 , f=g+h= 6 , depth=  3
it= 9 , queue= 21 , f=g+h= 7 , depth=  2
it= 10 , queue= 24 , f=g+h= 7 , depth=  2
it= 11 , queue= 25 , f=g+h= 7 , depth=  2
it= 12 , queue= 28 , f=g+h= 7 , depth=  2
it= 13 , queue= 29 , f=g+h= 7 , depth=  2
it= 14 , queue= 30 , f=g+h= 7 , depth=  2
it= 15 , queue= 33 , f=g+h= 7 , depth=  2
it= 16 , queue= 36 , f=g+h= 7 , depth=  2
it= 17 , queue= 36 , f=g+h= 7 , depth=  2
it= 18 , queue= 37 , f=g+h= 7 , depth=  2
it= 19 , queue= 38 , f=g+h= 7 , depth=  2
it= 20 , queue= 39 , f=g+h= 7 , depth=  2
it= 21 , queue= 42 , f=g+h= 7 , depth=  2
it= 22 , queue= 44 , f=g+h= 7 , depth=  2
it= 23 , queue= 45 , f=g+h= 7 , depth=  2
it= 24 , queue= 46 , f=g+h= 7 , depth=  2
it= 25 , queue= 47 , f=g+h= 7 , depth=  2
it= 26 , queue= 47 , f=g+h= 7 , depth=  2
it= 27 , queue= 48 , f=g+h= 7 , depth=  2
it= 28 , queue= 49 , f=g+h= 7 , depth=  3
it= 29 , queue= 52 , f=g+h= 7 , depth=  4
it= 30 , queue= 51 , f=g+h= 7 , depth=  4
it= 31 , queue= 52 , f=g+h= 7 , depth=  3
it= 32 , queue= 55 , f=g+h= 7 , depth=  3
it= 33 , queue= 56 , f=g+h= 7 , depth=  3
it= 34 , queue= 59 , f=g+h= 7 , depth=  3
